Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Gislinde Börner,29,EC-Karte,14.99,4,01.01.2022,10:24:44
Pierre Ullmann,28,Bar,17.99,4,01.01.2022,10:55:09
Rainer Birnbaum,57,Bar,43.99,4,01.01.2022,11:25:31
Ekaterina Binner,47,Kreditkarte,36.99,3,01.01.2022,11:30:28
Prof. Mandy Riehl,59,Bar,35.99,4,01.01.2022,11:46:50
Agatha Hermighausen-Tschentscher,60,Bar,35.99,5,01.01.2022,11:55:22
Heidemarie Fliegner B.Eng.,54,Bar,38.99,8,01.01.2022,12:06:00
Alexandra Pieper-Blümel,55,Bar,45.99,3,01.01.2022,12:08:00
Eckart Zobel,36,Bar,13.99,2,01.01.2022,12:43:03
Dimitrios Metz,67,Bar,35.99,9,01.01.2022,13:15:38
Hildegund Keudel,54,EC-Karte,31.99,5,01.01.2022,13:16:15
Christiana Röhricht B.Eng.,52,EC-Karte,47.99,7,01.01.2022,14:39:19
Anni Lübs,45,Kreditkarte,31.99,3,01.01.2022,15:26:53
Dr. Annekatrin Hahn,46,EC-Karte,40.99,7,01.01.2022,16:04:25
Yilmaz Schwital,60,Kreditkarte,37.99,4,01.01.2022,16:15:25
Hajo Otto MBA.,55,EC-Karte,45.99,8,01.01.2022,16:35:34
Wendelin Hänel,35,Kreditkarte,23.99,2,01.01.2022,16:45:57
Prof. Patrik Junitz B.Eng.,57,Bar,41.99,4,01.01.2022,16:47:06
Laila Ullrich,48,EC-Karte,52.99,4,01.01.2022,16:51:47
Eckehard Köhler,52,Kreditkarte,33.99,5,01.01.2022,17:09:06
Prof. André Henck B.Sc.,48,EC-Karte,33.99,5,01.01.2022,17:11:12
Kenneth Heß,47,EC-Karte,44.99,7,01.01.2022,17:23:41
Univ.Prof. Gertrude Etzold MBA.,25,Kreditkarte,23.99,4,01.01.2022,17:29:31
Waltraud Plath,68,EC-Karte,40.99,7,01.01.2022,18:00:22
Falko Pieper MBA.,59,Kreditkarte,43.99,3,01.01.2022,18:46:50
Dr. Thaddäus Juncken B.Sc.,25,Bar,19.99,2,01.01.2022,19:16:16
Silja Krein,35,EC-Karte,12.99,4,01.01.2022,19:21:56
Agata Ortmann,53,EC-Karte,34.99,9,01.01.2022,19:23:41
Berta Krebs,58,EC-Karte,44.99,2,02.01.2022,10:11:09
Univ.Prof. Sönke Rogge,63,Bar,42.99,8,02.01.2022,10:18:50
Darko Häring,66,Kreditkarte,45.99,6,02.01.2022,10:27:16
Paulo Dobes-Oestrovsky,61,Bar,56.99,5,02.01.2022,10:32:00
Dr. Bartholomäus Holzapfel B.Eng.,66,Kreditkarte,35.99,8,02.01.2022,10:59:12
Ing. Ralph Hecker,60,Kreditkarte,35.99,6,02.01.2022,11:17:03
Krystyna Stroh-Siering,25,Kreditkarte,27.99,1,02.01.2022,11:41:54
Brunhild Fliegner-Gorlitz,57,Bar,45.99,4,02.01.2022,12:14:47
Dorothe Weimer,53,Bar,33.99,6,02.01.2022,12:31:38
Leonardo Siering,60,Bar,36.99,8,02.01.2022,12:32:44
Theobald Stoll,47,Bar,29.99,2,02.01.2022,13:09:25
Ing. Woldemar Patberg B.Eng.,60,Bar,38.99,8,02.01.2022,13:42:54
Niels Meyer,54,EC-Karte,44.99,3,02.01.2022,14:21:29
Hans-Adolf Mosemann,55,Bar,38.99,6,02.01.2022,14:31:47
Frau Manja Söding,54,Bar,40.99,3,02.01.2022,14:46:19
Emine Albers-Sauer,62,Bar,39.99,5,02.01.2022,15:04:35
Hanno Kohl MBA.,35,Kreditkarte,24.99,3,02.01.2022,15:09:22
Kenneth Etzold B.A.,63,Bar,43.99,2,02.01.2022,15:17:44
Sarina Ehlert,60,Bar,45.99,6,02.01.2022,16:07:06
Corinne Mangold B.Eng.,66,Bar,40.99,4,02.01.2022,16:19:57
Dr. Willi Krause MBA.,67,Kreditkarte,39.99,5,02.01.2022,16:42:03
Eckehard Hornich-Linke,55,EC-Karte,32.99,6,02.01.2022,17:50:19
Valeska Geisler-Herrmann,66,EC-Karte,52.99,3,02.01.2022,18:12:41
Anne Keudel,64,Bar,41.99,3,02.01.2022,18:42:13
Abdullah Eimer,63,Bar,38.99,3,02.01.2022,19:25:32
Anna-Maria Mangold,65,EC-Karte,41.99,5,02.01.2022,19:25:38
Stephan Hesse MBA.,71,Kreditkarte,38.99,6,02.01.2022,19:56:28
Ahmet Pohl,51,Kreditkarte,40.99,6,03.01.2022,10:41:19
Dipl.-Ing. Lotte Ruppert B.A.,59,Bar,42.99,10,03.01.2022,10:45:16
Ing. Gülay Trommler B.A.,26,Kreditkarte,20.99,2,03.01.2022,10:51:41
Univ.Prof. Arnd Carsten,20,EC-Karte,19.99,3,03.01.2022,11:03:32
